id,Ag_Pot_Maj,1997_Perc_Anthro,2011_Perc_Anthro,2013_Perc_Anthro,Cons_AOD,Biodiv_Pri,Clim_Zone,ClimChgZon,AvgD_FedCU,AvgD_StaCU,AvgD_Log,AvgDist0_97,AvgDist2_00,AvgDist5_03,AvgDist6_04,AvgDist7_05,AvgDist8_06,AvgDist9_07,AvgDist10_08,AvgDist11_13,AvgDist12_14,AvgDist_15,AvgD_Rail,AvgD_Mine,AvgD_City,AvgD_MajCi,Cons_Ecosy,AreaForRes,AreaOvLR,DomSoil,ConsTrdPop,DomVegetat
2,1,,,,,100.0000002,1,6,62631.54494,0,693576.0901,153177.8032,208345.3747,1968411.733,1968411.733,153284.8477,2396894.727,2330196.796,769296.1165,1985085.344,694012.9044,208345.3747,1182193.38,80932.4766,18266.16027,25027.28711,,,,13,24.52180965,20
3,2,22.83363006,22.94113286,,,,3,6,128518.4267,182991.7584,284490.2439,242506.5295,205523.5413,2148823.303,2148823.303,205523.5413,2445293.172,2281297.171,875284.797,2101215.237,557155.804,205523.5413,1274541.148,187709.2802,90076.50262,155260.7578,,,,21,100.0000001,20
4,2,6.581583948,6.53977823,,,26.49940082,2,6,82573.71323,233150.5941,309096.4992,169635.4555,167137.1904,2225301.256,2225301.256,167137.1904,2535401.49,2387605.677,941504.869,2209123.338,446959.592,167137.1904,1351909.993,275489.5408,35206.50384,136831.6797,,,,21,100.0000001,20
11,1,3.850191054,3.851521996,1.003672584,,88.48198446,1,1,5418.591192,218194.2353,914254.7769,531443.1213,585729.9356,2077055.729,2077055.729,534176.2502,2588348.291,2518194.079,1030568.206,2086833.132,891133.0722,585729.9356,1401144.65,281463.9479,133644.0024,137387.2406,,47.10895525,,13,,17
13,2,,,,,,3,6,106059.649,166056.9178,283093.2033,257374.4696,225307.0323,2173583.249,2173583.249,225307.0323,2468107.568,2299597.654,901084.2002,2118797.511,542167.0704,225307.0323,1299341.749,185586.1822,79040.22418,NA,,,,6,100.0000002,20
14,2,,,0.130739903,,100.0000001,3,6,34495.56558,380919.3386,452663.5277,145293.6021,271203.2282,2791444.443,2791444.443,670262.8687,3095734.318,2911588.955,1506107.29,2726249.28,108367.331,271203.2282,1818106.931,636165.6308,24023.08842,95456.14583,,1.669617921,,18,99.99999993,17
24,2,39.2823669,41.14433287,86.17682618,100.0000013,,3,6,82575.94866,75027.38058,83979.95982,0,40428.57143,1247701.5,1247701.5,415706.1071,1579395.607,1516511.607,40428.57143,1272928.625,1054908.232,40428.57143,374971.183,39060.35435,33575.37556,NA,,,100.0000013,0,99.99999669,20
26,2,4.990691272,4.752162644,,,100.0000003,2,6,7702.728279,166404.8606,226968.662,172400.5455,42353.87578,1734266.897,1734266.897,40738.66074,2050231.713,1947793.01,456211.4934,1758790.631,907353.9331,42353.87578,860638.3683,308974.6411,9118.434682,8848.482422,,,,13,,20
33,2,,,,,99.99999999,2,6,33807.70559,446937.9879,537138.4478,67778.28138,132261.2106,2784585.676,2784585.676,647775.8461,3109677.583,2955947.272,1497065.061,2774125.09,6740.419623,132261.2106,1916898.523,702605.2816,45984.51736,71972.33333,,21.86700775,,16,61.16585647,17
36,2,0.000208381,0.000126178,,,99.99999998,2,6,181529.5638,158828.5893,169630.1512,28466.99267,201540.5334,1391964.435,1391964.435,333800.1187,1694712.655,1611316.583,194176.8708,1424191.207,931079.3874,201540.5334,519145.0789,150796.3293,55531.57256,63807.3125,94.93671687,,99.99999995,14,,20
40,2,5.970211759,6.182106841,,99.99999981,,2,6,102867.9537,180251.7868,186212.4638,266309.5009,152836.4415,1682892.264,1682892.264,135799.5753,1978496.415,1850702.978,435435.2379,1679273.324,895884.6671,152836.4415,809494.526,195984.4257,111427.1074,111925.4297,,,,6,,20
46,8,98.39770557,98.34325134,2.48912843,,,5,7,168290.291,69625.73423,185656.1277,723724.1273,32827.06822,475191.8166,510940.3217,524979.3727,536581.9816,54639.90694,861061.1253,22919.86513,124412.4669,32827.06822,173773.0516,40976.66122,40881.91938,30887.50391,,,99.99999994,14,,20
49,8,25.72426828,25.19339325,,,,5,2,87687.66705,161909.5057,410767.6757,965197.0437,347197.5022,1315451.783,1323155.771,974071.3957,1399790.895,1395525.728,347197.5022,1550089.293,246780.7899,347197.5022,260912.2058,79376.72417,81028.0059,NA,,,,22,,20
51,1,3.170035106,3.187329427,0.339905069,,100,1,6,229.7230712,12912.4802,705874.7843,390968.0091,535721.0224,1862893.198,1862893.198,480648.0041,2368696.85,2298595.911,819365.9371,1873675.222,968284.4415,535721.0224,1181933.462,234658.3044,79405.8529,78630.06738,9.292750705,,,13,,17
52,3,2.772910829,2.725330238,,,98.84291424,3,6,230677.8634,216437.3333,224557.1,140640.9978,86610.47045,1969592.142,1969592.142,86430.9382,2276198.721,2140024.627,692266.1058,1964848.299,694905.4719,86610.47045,1095488.422,247891.3716,50877.01468,44718.15469,,,,21,64.43558126,20
54,8,,,,,99.99999984,5,4,40952.47694,238399.1112,71995.85812,674416.1729,647995.1899,1184122.321,1184122.321,818789.8843,1757580.466,1691476.665,608110.0503,1189427.919,1610210.309,647995.1899,736214.0674,121712.5469,45002.42337,NA,,,100,20,,17
66,8,2.546976826,2.506281297,,,60.25270028,5,4,19483.90415,212787.9506,80126.3365,682946.0369,650795.4974,1212742.4,1212742.4,806164.7797,1784781.471,1718210.749,617205.8837,1218158.505,1586564.452,650795.4974,752827.5011,94894.78261,28069.25574,NA,,,99.99999988,13,,17
72,2,0.125352708,0.142232003,,,94.87905654,4,5,6191.180352,233371.9827,252114.7596,396788.0262,508465.3845,2672106.434,2672106.434,635384.9112,2931232.415,2720367.847,1406875.075,2531165.839,350150.9822,508465.3845,1566629.374,444616.2511,40671.92249,44242.41211,,99.83051758,,19,99.83092206,1
84,8,12.094405,12.51466353,8.756115016,,100.0000004,1,6,112302.8674,131683.5702,378691.3098,150632.1613,15439.06784,1678160.375,1678160.375,12342.55934,2034118.904,1970477.964,396320.2355,1696615.373,934595.6915,15439.06784,822866.3025,271615.348,29044.22625,NA,99.99999984,,,6,100.0000004,20
85,8,0.461650407,0.496496943,,,0.644375064,2,6,110554.0849,261227.287,337333.3381,144416.7995,138485.6966,2207107.255,2207107.255,138485.6966,2521129.695,2380546.302,921621.4874,2203123.676,452855.3768,138485.6966,1334269.772,297640.1589,57544.86691,169925.1156,,,,6,100,20
98,8,0.166493414,0.178689017,,,,2,6,97865.19852,233869.0382,317170.6912,185837.9404,167419.4697,2188614.051,2188614.051,167419.4697,2495630.967,2345257.532,906879.4904,2166666.083,489424.421,167419.4697,1314787.074,255745.945,36099.53105,146735.7383,,,,6,100.0000001,20
100,8,1.029280172,1.032123447,0.061835606,,100,3,6,182281.3096,185160.2487,176203.9138,24492.11039,183898.8222,1305373.978,1305373.978,433098.7044,1598283.559,1513282.363,183883.0569,1334446.939,910709.9512,183898.8222,438310.9595,87587.52491,63213.09098,62564.75555,48.26638004,,98.46262919,0,,20
105,3,2.90460053,2.79426083,3.036163343,,100,1,6,119161.2803,0,564353.5336,42367.06342,225151.6689,1768956.136,1768956.136,206821.9449,2192241.812,2125461.176,567354.4748,1786534.717,863063.3329,225151.6689,977910.2858,54777.66958,69108.76633,71877.15625,,,,21,99.99999997,20
106,2,0.867919418,0.872201585,,12.57449792,35.88412082,2,6,158120.3967,127016.5117,149168.6542,13121.64211,196440.9932,1416078.695,1416078.695,286238.1248,1730268.811,1659629.844,178746.6032,1444506.968,974183.0074,196440.9932,541903.4829,149272.9533,64005.20577,65559.29115,86.88507892,,100,6,,20
107,8,0.237733381,0.239745967,,,19.75349612,2,6,122452.2952,292213.1746,383417.4589,94486.81981,117666.5098,2228638.789,2228638.789,117666.5098,2553165.405,2427546.184,940557.5192,2243969.227,408790.4564,117666.5098,1358614.763,363163.5103,79947.02254,194994.0883,,,,6,100,20
108,8,10.49197292,10.52568618,2.475655203,,99.99999998,3,6,5345.223663,52324.12965,98578.86169,385413.7891,309041.1136,1796722.836,1796722.836,259852.5814,2051072.828,1853708.38,609567.4992,1672201.385,720230.3309,309041.1136,936730.4645,104717.0371,101152.3313,99245.60938,,,,14,,20
110,8,2.41241124,2.400698021,0.252118251,2.508818121,97.90755079,4,4,17550.53693,152997.6384,80929.67374,816590.1075,361822.2301,1898566.68,1902816.815,845784.093,1973248.513,1656145.803,343667.6525,1458574.589,142739.7495,361822.2301,788452.3307,35889.22755,79880.83409,80442.85707,100,0.432263928,86.46612578,20,,20
114,1,,,,,99.99999991,1,6,28750.09341,8895.04552,698193.3807,150012.2405,191694.5511,2002269.685,2002269.685,136750.2715,2428081.409,2361562.386,798314.8522,2019052.049,660911.4661,191694.5511,1213011.849,95765.3338,36839.46666,44242.41211,,,,13,100,20
126,2,,,22.06201,85.33477102,,2,6,77599.06941,46661.95733,77813.10968,27785.11486,141645.8173,1384002.596,1384002.596,278640.244,1717900.615,1655191.683,109783.1647,1406535.014,1053593.635,141645.8173,512949.0385,70158.0637,17271.30146,NA,,,100.0000002,6,,2
127,2,8.929069865,7.7056421,,,100.0000005,2,6,21691.19379,0,74666.25694,83333.33333,140251.6354,1375949.403,1375949.403,271008.0556,1726763.806,1662572.278,87300.16406,1392827.736,1124308.139,140251.6354,514104.684,30723.04666,20838.68077,NA,,,99.99999999,6,,20
148,8,0.89738947,0.917252762,,,57.51903088,2,6,211452.4204,253843.6135,296353.4803,159296.0951,106838.5747,2060225.185,2060225.185,106838.5747,2369591.52,2231222.571,779089.804,2055087.863,603065.1671,106838.5747,1186504.519,247487.5813,108144.3649,111459.4535,,,,6,99.99999999,20
