"SP_ID","terrai_nom","terrai_pro","status_ter","fase_descr","tipo_terra","terrai_fai","terrai_obs","terrai_are","situa_desc","tipo_area_","terrai_per","terrai_pop","id","access_50k"
"0","Takuari",NA,"Estudos Complementares","Em Estudo","Reserva Indígena","N",NA,"0.0000 Ha","Ativo","Principal","0.00000 Ha",NA,1,240.012825080157
"1","Acapuri de Cima",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,"19885.0378 Ha","Ativo","Principal","57.64093 Ha",NA,2,2748.27302009964
"2","Acimã",".","Concluído","Regularizada","Terra Indígena","N",NA,"40686.0340 Ha","Ativo","Principal","110.11701 Ha",NA,3,1833.79769328634
"3","Água Preta/Inari",".","Concluído","Regularizada","Terra Indígena","N",NA,"139763.6705 Ha","Ativo","Principal","288.22043 Ha",NA,4,1773.77138437273
"4","Águas Belas",".","Concluído","Regularizada","Terra Indígena","N",NA,"1189.0649 Ha","Ativo","Principal","17.93918 Ha",NA,5,155.606245756959
"5","Aconã",".","Processo de Homologação","Regularizada","Reserva Indígena","N",NA,"267.7862 Ha","Ativo","Principal","12.35282 Ha",NA,6,63.602523659306
"6","Aldeia Kondá",".","Processo de Aquisição","Reserva Indígena","Reserva Indígena","S",NA,"2300.0000 Ha","Ativo","Principal","23.00000 Ha",NA,7,135.030910884577
"7","Aldeia Limão Verde",".","Reserva SPI","Regularizada","Reserva Indígena","S","Área registrada com 660 hectares e na planta de demarcação 668,0796ha.","668.0796 Ha","Ativo","Principal","12.98415 Ha",NA,8,104.989772727273
"8","Aldeia Velha",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,"2001.0000 Ha","Ativo","Principal","24.00000 Ha",NA,9,11.3683995088007
"9","Alto Rio Guamá",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"279897.7000 Ha","Ativo","Principal","366.29290 Ha",NA,10,833.329303462864
"10","Alto Rio Negro",".","Concluído","Regularizada","Terra Indígena","N",NA,"7999381.1683 Ha","Ativo","Principal","1905.96063 Ha",NA,11,5179.25577765405
"11","Alto Rio Purus",".","Concluído","Regularizada","Terra Indígena","S",NA,"263129.8062 Ha","Ativo","Principal","393.54748 Ha",NA,12,1510.36225783891
"12","Alto Sepatini",".","Concluído","Regularizada","Terra Indígena","N",NA,"26095.6979 Ha","Ativo","Principal","96.83977 Ha",NA,13,1505.38111331362
"13","Alto Tarauacá",".","Concluído","Regularizada","Terra Indígena","N",NA,"142619.1069 Ha","Ativo","Principal","239.24560 Ha",NA,14,2694.6458612154
"14","Alto Turiaçu",".","Concluído","Regularizada","Terra Indígena","N",NA,"530524.7417 Ha","Ativo","Principal","393.47700 Ha",NA,15,826.615979734687
"15","Amambai",".","Processo de Homologação","Regularizada","Terra Indígena","S",NA,"2429.5454 Ha","Ativo","Principal","22.41311 Ha",NA,16,103.271428571429
"16","Anambé",".","Concluído","Regularizada","Terra Indígena","N",NA,"7882.8329 Ha","Ativo","Principal","42.30152 Ha",NA,17,1050.11308578237
"17","Ananás",".","Concluído","Regularizada","Terra Indígena","S",NA,"1769.4220 Ha","Ativo","Principal","28.00000 Ha",NA,18,178.037760416667
"18","Andirá-Marau",".","Concluído","Regularizada","Terra Indígena","N",NA,"788528.3830 Ha","Ativo","Principal","477.72700 Ha",NA,19,1142.78500068516
"19","Aningal",".","Concluído","Regularizada","Terra Indígena","S",NA,"7627.0391 Ha","Ativo","Principal","40.25400 Ha",NA,20,222.086792032936
"20","Anta",".","Concluído","Regularizada","Terra Indígena","S",NA,"3173.8226 Ha","Ativo","Principal","33.66215 Ha",NA,21,126.898065865133
"21","Apiaka/Kayabi",".","Concluído","Regularizada","Terra Indígena","N",NA,"109245.3822 Ha","Ativo","Principal","162.50790 Ha",NA,22,975.939207304929
"22","Apinayé",".","Concluído","Regularizada","Terra Indígena","N",NA,"141904.2092 Ha","Ativo","Principal","178.01832 Ha",NA,23,179.430057685619
"23","Apipica",".","Concluído","Regularizada","Terra Indígena","N",NA,"652.7562 Ha","Ativo","Principal","21.82696 Ha",NA,24,446.690600522193
"24","Apucarana",".","Reserva SPI","Regularizada","Reserva Indígena","N",NA,"5574.9450 Ha","Ativo","Principal","48.58212 Ha",NA,25,102.779315164221
"25","Apurinã do Igarapé São João",".","Homologada","Regularizada","Terra Indígena","N",NA,"18232.4221 Ha","Ativo","Principal","88.04480 Ha",NA,26,1301.69405072734
"26","Apurinã Igarapé Tauamirim",".","Concluído","Regularizada","Terra Indígena","N",NA,"96456.5072 Ha","Ativo","Principal","170.62262 Ha",NA,27,1314.16700255728
"27","Apurinã Km 124 BR-317",".","Concluído","Regularizada","Terra Indígena","N",NA,"42197.6055 Ha","Ativo","Principal","109.86670 Ha",NA,28,366.092634730539
"28","Apyterewa",".","Homologada","Regularizada","Terra Indígena","N",NA,"773470.0313 Ha","Ativo","Principal","527.90544 Ha",NA,29,2154.80990655233
"29","Araçá",".","Concluído","Regularizada","Terra Indígena","S",NA,"50018.3000 Ha","Ativo","Principal","13.00000 Ha",NA,30,173.574039025207
"30","Arara",".","Concluído","Regularizada","Terra Indígena","N",NA,"274010.0240 Ha","Ativo","Principal","298.77196 Ha",NA,31,661.690740620064
"31","Arara do Rio Branco",".","Concluído","Regularizada","Terra Indígena","N",NA,"114842.4748 Ha","Ativo","Principal","196.53254 Ha",NA,32,1175.09972952711
"32","Arara do Igarapé Humaitá",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"87571.6965 Ha","Ativo","Principal","140.04790 Ha",NA,33,3542.80250101549
"33","Araribá",".","Estudos Antropológicos","Regularizada","Terra Indígena","N",NA,"1930.3369 Ha","Ativo","Principal","25.54380 Ha",NA,34,90.6899224806202
"34","Arariboia",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"413288.0472 Ha","Ativo","Principal","277.82175 Ha",NA,35,662.289188188085
"35","Arary",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,"40750.0000 Ha","Ativo","Principal","114.00000 Ha",NA,36,1161.30794175489
"36","Araweté Igarapé Ipixuna",".","Concluído","Regularizada","Terra Indígena","N",NA,"940900.8000 Ha","Ativo","Principal","576.38000 Ha",NA,37,2343.79723374251
"37","Areões",".","Concluído","Regularizada","Terra Indígena","N",NA,"218515.0000 Ha","Ativo","Principal","265.60400 Ha",NA,38,773.019562318974
"38","Aripuanã",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,"750649.2650 Ha","Ativo","Principal","565.03797 Ha",NA,39,2154.92545790114
"39","Ariramba",".","Concluído","Regularizada","Terra Indígena","N",NA,"142.2979 Ha","Ativo","Principal","69.00000 Ha",NA,40,1269.68460781096
"40","Arroio-Korá",".","Homologada","Homologada","Terra Indígena","S",NA,"7175.7747 Ha","Ativo","Principal","48.64039 Ha",NA,41,195.736065573771
"41","Atikum",".","Concluído","Regularizada","Terra Indígena","N",NA,"16290.1893 Ha","Ativo","Principal","54.56587 Ha",NA,42,227.296783550008
"42","Avá-Canoeiro",".","Homologada","Declarada","Terra Indígena","N",NA,"38000.0000 Ha","Ativo","Principal","90.00000 Ha",NA,43,456.300105156984
