SP_ID,id,ltdr_yearly_ndvi_max.1982.median,ltdr_yearly_ndvi_max.1983.median,ltdr_yearly_ndvi_max.1984.median,ltdr_yearly_ndvi_max.1985.median,ltdr_yearly_ndvi_max.1986.median,ltdr_yearly_ndvi_max.1987.median,ltdr_yearly_ndvi_max.1988.median,ltdr_yearly_ndvi_max.1989.median,ltdr_yearly_ndvi_max.1990.median,ltdr_yearly_ndvi_max.1991.median,ltdr_yearly_ndvi_max.1992.median,ltdr_yearly_ndvi_max.1993.median,ltdr_yearly_ndvi_max.1994.median,ltdr_yearly_ndvi_max.1995.median,ltdr_yearly_ndvi_max.1996.median,ltdr_yearly_ndvi_max.1997.median,ltdr_yearly_ndvi_max.1998.median,ltdr_yearly_ndvi_max.1999.median,ltdr_yearly_ndvi_max.2000.median,ltdr_yearly_ndvi_max.2001.median,ltdr_yearly_ndvi_max.2002.median,ltdr_yearly_ndvi_max.2003.median,ltdr_yearly_ndvi_max.2004.median,ltdr_yearly_ndvi_max.2005.median,ltdr_yearly_ndvi_max.2006.median,ltdr_yearly_ndvi_max.2007.median,ltdr_yearly_ndvi_max.2008.median,ltdr_yearly_ndvi_max.2009.median,ltdr_yearly_ndvi_max.2010.median,ltdr_yearly_ndvi_max.2011.median,ltdr_yearly_ndvi_max.2012.median,ltdr_yearly_ndvi_max.2013.median
0,1,7615.0,7623.0,7566.0,7778.0,7788.0,7637.0,7368.0,7640.0,7823.0,7699.0,7370.0,8566.0,7695.0,7866.0,7780.0,7542.0,7695.0,7693.0,7264.0,8245.0,8392.0,8388.0,8069.0,8110.0,8260.0,8140.0,8056.0,8286.0,8441.0,8292.0,8517.0,8499.0
1,2,7169.0,7192.0,7404.0,7609.0,7423.0,7511.0,7461.0,7400.0,7443.0,7531.0,7534.0,7720.0,8039.0,7368.0,7540.0,7519.0,7597.0,7784.0,7244.0,8217.0,8021.0,8082.0,8151.0,8010.0,8030.0,7643.0,7976.0,8043.0,8046.0,8013.0,8017.0,8126.0
2,3,7581.0,7421.0,7877.0,7637.0,7630.0,7668.0,7647.0,7798.0,7896.0,7345.0,7385.0,7713.0,8466.0,7859.0,7639.0,7829.0,7905.0,7951.0,7719.0,8379.0,8232.0,8159.0,8274.0,8347.0,8173.0,8264.0,8028.0,7825.0,8546.0,8295.0,8398.0,8277.0
3,4,7303.0,7570.5,7742.5,7782.5,7565.5,7474.5,7474.0,7744.0,7717.5,7436.0,7263.5,7735.5,8072.5,7696.0,7613.5,7583.5,7905.5,7807.5,7548.5,8230.0,8112.0,8057.5,8205.0,8118.5,8173.5,8246.0,8002.5,7957.5,8473.0,8230.5,8301.0,8196.5
4,5,7518.0,7850.0,8404.0,7447.0,7237.0,7323.0,9114.0,6833.0,7221.0,7202.0,7237.0,9346.0,8790.0,6903.0,6838.0,6935.0,6957.0,7701.0,7574.0,7767.0,7403.0,7268.0,7410.0,7451.0,7414.0,7401.0,7478.0,7107.0,7049.0,7375.0,7282.0,7326.0
5,6,7012.5,6127.0,7438.5,7528.5,7386.0,7149.5,7855.5,7009.0,6875.0,6880.5,6827.0,6967.5,7467.5,7154.5,7297.0,7456.5,7213.0,7092.0,5674.5,7447.5,7703.5,7158.5,7054.0,7185.5,7760.0,7309.5,7040.0,7401.5,7289.5,7370.5,6916.0,7949.0
6,7,8225.0,8230.0,9149.0,8699.0,8167.5,8285.0,8486.0,7970.5,8145.0,8001.5,8430.0,8925.0,9150.5,7948.5,8227.5,8211.0,8317.5,8558.5,8369.5,8565.5,8478.0,8721.0,8528.0,8473.5,8611.5,8468.0,8325.0,8495.5,8357.0,8408.5,8540.0,8926.0
7,8,6717.0,6484.0,7103.5,6367.5,6441.5,6527.5,8135.0,6422.5,6516.5,6537.5,6200.5,7116.5,7507.0,6413.0,6246.5,6271.5,6520.5,6728.5,6409.5,6841.5,6919.0,6707.5,6775.5,7045.0,6438.5,7149.0,6661.0,6658.0,6804.0,6868.5,6740.0,7304.0
8,9,7011.5,7856.5,7906.0,7044.5,6625.0,6384.5,6579.5,7045.5,7755.0,7321.5,6939.0,7461.0,7774.5,7109.0,6802.5,6561.5,7085.0,6835.0,6510.0,7328.0,7359.0,7377.0,8109.5,7450.0,6891.0,6353.0,6158.5,6788.5,6507.5,7102.0,6852.5,6605.0
9,10,7221.0,6977.0,7342.0,7522.5,7377.0,7521.5,7646.0,7564.0,7528.0,7416.5,6889.5,7342.0,8088.5,7675.5,7808.5,7517.0,7480.5,7630.5,7138.0,8192.5,8107.0,8054.0,8206.5,8084.5,8221.0,7941.0,7997.0,7986.5,8033.5,8119.5,8000.0,8073.5
